property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,נוה שאנן,ארלינג'ר,3.0,3,80,0,0,12,350,190,6,"בנווה שאנן, בבניין חדש ברמה גבוה מאד! דירת 3 חד' מושלמת, חניה תת קרקעית ומרפסת שמש. סלון עם מטבח פתוח, חדר שינה + חדר שינה ממ""ד, חדר רחצה עם מקלחת ושירותים. טווח ארוך.. פרטים נוספים במשרד",1,0,1,1,1,0,1,1,0,0,6200.0,4,2799.0
דירה,נוה שאנן,צלנוב 111,2.0,4,54,7,0,12,400,150,7,דירה עם מעלית חניה ומרפסת שמש  0527758422,0,0,0,0,0,0,0,1,0,0,6400.0,4,3591.0
דירה,נוה שאנן,איילת השחר 4,2.5,2,70,0,0,12,260,250,4,"רחוב: איילת השחר 

נווה שאנן - תל אביב

דירת 2.5 חדרים מסודרת סלון עם מטבח פלס פינת אוכל.

מטבח חדש.

2 מזגנים.

מאווררי תקרה.

מיקום מרכזי.

נגיש לתחבורה ציבורית

כניסה מידית",0,0,0,1,0,0,0,1,0,1,4900.0,3,15493.0
דירה,נוה שאנן,איילת השחר 5,2.5,2,70,0,0,12,350,350,4,"נווה שאנן - תל אביב

דירת 2.5 חדרים מסודרת סלון עם מטבח פלס פינת אוכל.

מטבח חדש.

2 מזגנים.

מאווררי תקרה.

מיקום מרכזי.

נגיש לתחבורה ציבורית

כניסה מידית.",0,0,0,1,0,0,0,1,0,1,4900.0,4,3370.0
דירה,נוה שאנן,הגדוד העברי 25,3.0,2,75,0,0,12,450,200,4,"דרום תל אביב 

דירה של  3  חדרים, כ - 75  מטר. מסודרת מוארת מקסימה איוכתית ויפה.

סלון עם פינת אוכל.

חדרי שינה עם מזגנים.

שלושה כוון אויר.

בניין עם קודן.

קומה 2 

מתאימה לשותפים.

כניסה מידית",0,0,0,1,0,0,0,1,0,1,5600.0,2,11475.0
גג/פנטהאוז,נוה שאנן,נוה שאנן 3,4.0,5,130,0,0,12,500,200,6,"שכונת:נווה שאנן

דופלקס של 4 חדרים,כ - 130 מטר עם נוף פתוח לשכונה.

חדרי שינה עם מזגנים.

יח' הורים עם מקלחת ושורותים.

ואמבטיה ושרותים עם מרפסת שרות. 

בניין חדש.

מעלית.

כניסה מידית.",0,0,1,1,0,0,0,1,0,1,11900.0,5,94759.0
דירה,נוה שאנן,מסילת העולים 4,3.0,3,55,0,0,12,450,250,8,"דירות 3 חד    בניין  חדש משופצות עם מרפסות שמש  ומעלית קומות 3 .  גודל  55-60 מ״ר, 
כניסה מיידית , 
צריך שוכרים מסודרים צ’קים וערבים.
חניה בתוספת תשלום של  200 ש""ח",0,0,1,1,0,0,1,1,0,1,6700.0,5,3566.0
דירה,נוה שאנן,פין 4,2.0,4,55,0,,12,165,274,5,"דרום תל אביב \ שכונת: נוה שאנן 

דירה של 2  חדרים ,כ - 55  מטר, בניין חדש ""בערך 5 שנים""

סלון עם מטבח פתוח.

מוארת ומקסימה.

חדר שינה עם מזגן.

בניין טוב עם אינטרקום וקודן.

מעלית וחניה רגילה ללא מכפיל.

בניין מנוהל על ידי חברת ניהול.

ועד בית: 274 ש""ח 

עירית תל אביב לחודש 165 ש""ח 

כניסה: 1.07.2021",0,0,1,1,0,0,1,0,0,1,4600.0,6,3801.0
דירה,נוה שאנן,לונסקי 75,2.0,2,50,0,0,12,220,50,4,דירה בת 2 חדרים קומה 2 מתוך 4 בלי מעלית 50 מטר חניה משופצת מיידית,1,0,0,0,0,0,0,0,0,1,4400.0,0,3177.0
סטודיו/לופט להשכרה,נוה שאנן,הגר''א,2.0,0,25,0,0,,,,0,"מיקום שקט, מתאים לאומנים או לכל מטרה.ישנם שני נכסים בקומת הקרקע להשכרה האחד 25 מטר פלוס גלריה והשני 60 מטר פלוס גלריה שטח פריקה וטעינת סחורה נוחה בחזית. גישת תחבורה קלה מכל מקום.",1,0,0,0,0,0,0,0,0,0,4000.0,0,3801.0
דירה,גבעת הרצל,דרך שלמה 54,3.0,3,90,15,,12,,450,6,"בפרויקט ""סטודיו 54"" (פינת הש""ך 3)
מרפסת עורפית גדולה 
חניה תת קרקעית פרטית
מיקום מרכזי 
תחבורה ציבורית זמינה
לא רחוק מהמטרו החדש
אפשרות לכניסה לפני ה1 באוגוסט",1,0,1,1,0,0,1,1,0,0,8900.0,8,4409.0
דירה,גבעת הרצל,בן עטר 18,1.0,3,25,0,0,12,,,3,דירת חדר משופצת בסביבה תוססת ונעימה מרוהטת חלקית ממוזגת המחיר כולל ארנונה ומים .,0,0,0,0,0,0,0,0,0,0,3200.0,2,3942.0
דירה,גבעת הרצל,התקומה 17,3.0,3,76,10,0,12,800,500,6,"דירה יוקרתית ומפנקת בפרוייקט נויה המבוקש!
מיקום מעןלה בין נווה צדק לפישפשים! הליכה לחוף הים...
2 חדרי שינה, 76 מ""ר בנוי + מרפסת מהממת....
מרוהטת קומפלט, להגיע עם המזוודות.
בעל הבית מושלם!",1,0,1,1,1,0,1,1,1,1,13000.0,5,4321.0
דירה,גבעת הרצל,רבנו חננאל 19,1.0,1,30,0,0,12,,180,1,,0,0,0,0,0,0,0,0,0,0,3800.0,6,3760.0
דירה,גבעת הרצל,אבולעפיה 15,2.0,3,48,0,0,12,140,50,3,"מודעה מתיווך
דירת 2 חדרים  באבולעפיה 
מרווחת וענקית 
כניסה מיידית
לאחר שיפוץ
5,000 ₪ 
לעוד פרטים  וסרטון מהנכס
052-3858887",0,0,0,0,0,0,0,0,0,0,5000.0,2,5031.0
גג/פנטהאוז,גבעת הרצל,אבולעפיה 15,2.0,3,50,90,0,12,200,50,3,"מודעה מתיווך
דירת גג באבולעפיה 2 חדרים
מרווחת וענקית 
2 מרפסות
כניסה מיידית
לאחר שיפוץ
5,500 ש""ח
לעוד פרטים  וסרטון מהנכס
052-3858887",0,0,0,0,0,0,0,0,0,0,5500.0,2,5031.0
דירה,גבעת הרצל,שדרות ירושלים 33,3.0,3,85,0,0,12,400,350,6,"יפו

בפרויקט יפו בשדרה דירת 3 חדרים כ-85 מ""ר,קומה 3.

בניין בוטיק עם 13 דיירים.

דירה חדשה, יפיפייה,מסודרת ונעימה ,עם 3 כיווני אוויר

( צפון מערב ומזרח)

מרפסת שמש,מעלית ,ממ""ד ,חניה תת קרקעית ומרוהטת חלקית

( ארונות קיר ,מדיח ,תנור,כריים וקולט אדים).

מיקום מצוין בקרבת המכללה האקדמית,שוק הפשפשים,פארקים.

גנים ציבוריים, בתי ספר וגני ילדים.

כניסה:1.1.21.",1,0,1,1,0,0,1,1,0,1,7800.0,7,4454.0
יחידת דיור,רמת החייל,הגולן 128,1.5,1,25,0,0,12,,,1,חדר וחצי משופצים.שקט ומואר מאוד מקלחת מדוגמת,0,0,0,1,0,0,1,0,0,1,4000.0,2,186481.0
יחידת דיור,רמת החייל,הגולן 46,1.5,2,55,0,0,12,,,2,יחידת דיור עם כניסה נפרדת חמודה שקטה נקיה ומסודרת באזור נגיש ברמת החייל,0,0,0,1,0,0,0,0,1,1,4300.0,5,10039.0
מרתף/פרטר,רמת החייל,רמות צהלה 1,2.0,0,50,0,,12,,,0,"המחיר כולל ארנונה, YES, חשמל ומים.",0,0,0,1,0,0,1,0,1,1,4500.0,2,10694.0
